item_id,date,pred,units,cutoff
FOODS_2_197,2016-02-29,15.799052338295434,15,2016-02-28
FOODS_3_080,2016-02-29,15.648037530629772,17,2016-02-28
FOODS_3_090,2016-02-29,38.07748177629764,42,2016-02-28
FOODS_3_120,2016-02-29,20.377712156151027,0,2016-02-28
FOODS_3_252,2016-02-29,26.837932119296248,18,2016-02-28
FOODS_3_555,2016-02-29,14.24676544201243,8,2016-02-28
FOODS_3_586,2016-02-29,30.12957666323134,29,2016-02-28
FOODS_3_587,2016-02-29,23.01472373896572,25,2016-02-28
FOODS_3_714,2016-02-29,14.234702691599505,19,2016-02-28
FOODS_3_808,2016-02-29,8.88741964769215,1,2016-02-28
FOODS_2_197,2016-03-01,15.348460476314155,14,2016-02-28
FOODS_3_080,2016-03-01,15.862432704019465,11,2016-02-28
FOODS_3_090,2016-03-01,42.85041505111037,41,2016-02-28
FOODS_3_120,2016-03-01,24.8064682972421,0,2016-02-28
FOODS_3_252,2016-03-01,26.224318024212643,21,2016-02-28
FOODS_3_555,2016-03-01,15.037193516270943,12,2016-02-28
FOODS_3_586,2016-03-01,30.377194035282788,28,2016-02-28
FOODS_3_587,2016-03-01,19.568913255633007,35,2016-02-28
FOODS_3_714,2016-03-01,14.489317804925733,8,2016-02-28
FOODS_3_808,2016-03-01,5.71087388726091,0,2016-02-28
FOODS_2_197,2016-03-02,15.856360522627405,22,2016-02-28
FOODS_3_080,2016-03-02,16.04718382751397,11,2016-02-28
FOODS_3_090,2016-03-02,43.81532381193924,53,2016-02-28
FOODS_3_120,2016-03-02,20.325813594709714,0,2016-02-28
FOODS_3_252,2016-03-02,28.017495378875882,29,2016-02-28
FOODS_3_555,2016-03-02,15.037193516270943,9,2016-02-28
FOODS_3_586,2016-03-02,31.602409389101883,35,2016-02-28
FOODS_3_587,2016-03-02,18.371566134751646,24,2016-02-28
FOODS_3_714,2016-03-02,14.316518725066944,10,2016-02-28
FOODS_3_808,2016-03-02,5.55702143189693,0,2016-02-28
FOODS_2_197,2016-03-03,16.837885569317496,10,2016-02-28
FOODS_3_080,2016-03-03,16.905154752244187,11,2016-02-28
FOODS_3_090,2016-03-03,46.81098090247832,46,2016-02-28
FOODS_3_120,2016-03-03,20.639669909714087,0,2016-02-28
FOODS_3_252,2016-03-03,28.674884488686995,27,2016-02-28
FOODS_3_555,2016-03-03,15.365074195898028,14,2016-02-28
FOODS_3_586,2016-03-03,31.19669377560568,32,2016-02-28
FOODS_3_587,2016-03-03,20.232403144007613,25,2016-02-28
FOODS_3_714,2016-03-03,15.41284476532074,18,2016-02-28
FOODS_3_808,2016-03-03,10.018173154699134,6,2016-02-28
FOODS_2_197,2016-03-04,18.125591179041884,23,2016-02-28
FOODS_3_080,2016-03-04,18.770090180028372,13,2016-02-28
FOODS_3_090,2016-03-04,60.73427566938254,67,2016-02-28
FOODS_3_120,2016-03-04,14.83586048331003,0,2016-02-28
FOODS_3_252,2016-03-04,39.130934352204925,22,2016-02-28
FOODS_3_555,2016-03-04,19.3084775684265,19,2016-02-28
FOODS_3_586,2016-03-04,37.47037900916965,29,2016-02-28
FOODS_3_587,2016-03-04,22.58892657035899,15,2016-02-28
FOODS_3_714,2016-03-04,18.311029983254294,18,2016-02-28
FOODS_3_808,2016-03-04,10.155022275773767,6,2016-02-28
FOODS_2_197,2016-03-05,24.994343781814095,28,2016-02-28
FOODS_3_080,2016-03-05,25.238631071760654,23,2016-02-28
FOODS_3_090,2016-03-05,74.4353035024551,69,2016-02-28
FOODS_3_120,2016-03-05,43.05950415573282,0,2016-02-28
FOODS_3_252,2016-03-05,53.28174030532154,43,2016-02-28
FOODS_3_555,2016-03-05,26.645579766547176,22,2016-02-28
FOODS_3_586,2016-03-05,47.20683124737749,39,2016-02-28
FOODS_3_587,2016-03-05,26.228992964205585,22,2016-02-28
FOODS_3_714,2016-03-05,26.3461086544894,24,2016-02-28
FOODS_3_808,2016-03-05,10.281433764889705,0,2016-02-28
FOODS_2_197,2016-03-06,27.60748503070636,26,2016-02-28
FOODS_3_080,2016-03-06,25.48457954629876,34,2016-02-28
FOODS_3_090,2016-03-06,74.06927515005944,47,2016-02-28
FOODS_3_120,2016-03-06,37.897972667576795,0,2016-02-28
FOODS_3_252,2016-03-06,52.873440218503355,69,2016-02-28
FOODS_3_555,2016-03-06,25.45137210160816,33,2016-02-28
FOODS_3_586,2016-03-06,53.990188113489616,54,2016-02-28
FOODS_3_587,2016-03-06,31.88436675569145,50,2016-02-28
FOODS_3_714,2016-03-06,26.478547726394154,29,2016-02-28
FOODS_3_808,2016-03-06,12.997341078950337,0,2016-02-28
FOODS_2_197,2016-03-07,20.30975276566381,21,2016-02-28
FOODS_3_080,2016-03-07,17.862089036808154,12,2016-02-28
FOODS_3_090,2016-03-07,49.365369817481664,90,2016-02-28
FOODS_3_120,2016-03-07,32.24728128470636,0,2016-02-28
FOODS_3_252,2016-03-07,32.924861979422424,19,2016-02-28
FOODS_3_555,2016-03-07,16.642768015114306,14,2016-02-28
FOODS_3_586,2016-03-07,34.76718088701625,37,2016-02-28
FOODS_3_587,2016-03-07,26.289894104930116,19,2016-02-28
FOODS_3_714,2016-03-07,16.55737199098134,13,2016-02-28
FOODS_3_808,2016-03-07,12.902948691922147,2,2016-02-28
FOODS_2_197,2016-03-08,18.468167709643673,14,2016-02-28
FOODS_3_080,2016-03-08,16.91412345056395,12,2016-02-28
FOODS_3_090,2016-03-08,48.28565463339555,28,2016-02-28
FOODS_3_120,2016-03-08,26.839105627786928,0,2016-02-28
FOODS_3_252,2016-03-08,32.17640030823899,25,2016-02-28
FOODS_3_555,2016-03-08,17.084738249941356,15,2016-02-28
FOODS_3_586,2016-03-08,31.707813955838002,40,2016-02-28
FOODS_3_587,2016-03-08,23.332534183270134,24,2016-02-28
FOODS_3_714,2016-03-08,16.32320061975718,7,2016-02-28
FOODS_3_808,2016-03-08,11.084834851368996,4,2016-02-28
FOODS_2_197,2016-03-09,18.333775945663245,20,2016-02-28
