id,item_id,d,units,date,event_name_1,snap_CA,wm_yr_wk,store_id,sell_price,price_lag_7,price_change,price_rel,dayofweek,is_weekend,month,is_event,lag_7,lag_14,lag_28,roll_mean_7,roll_mean_28
FOODS_2_197_CA_1_evaluation,FOODS_2_197,d_29,0,2011-02-26,,0,11105,CA_1,2.98,2.98,0.0,0.923008428732371,5,1,2,0,1.0,34.0,38.0,2.4285714285714284,17.571428571428573
FOODS_2_197_CA_1_evaluation,FOODS_2_197,d_30,8,2011-02-27,,0,11105,CA_1,2.98,2.98,0.0,0.923008428732371,6,1,2,0,16.0,31.0,31.0,2.2857142857142856,16.214285714285715
FOODS_2_197_CA_1_evaluation,FOODS_2_197,d_31,0,2011-02-28,,0,11105,CA_1,2.98,2.98,0.0,0.923008428732371,0,0,2,0,0.0,0.0,14.0,1.1428571428571428,15.392857142857142
FOODS_2_197_CA_1_evaluation,FOODS_2_197,d_32,8,2011-03-01,,1,11105,CA_1,2.98,2.98,0.0,0.923008428732371,1,0,3,0,0.0,23.0,29.0,1.1428571428571428,14.892857142857142
FOODS_2_197_CA_1_evaluation,FOODS_2_197,d_33,0,2011-03-02,,1,11105,CA_1,2.98,2.98,0.0,0.923008428732371,2,0,3,0,0.0,9.0,24.0,2.2857142857142856,14.142857142857142
FOODS_2_197_CA_1_evaluation,FOODS_2_197,d_34,2,2011-03-03,,1,11105,CA_1,2.98,2.98,0.0,0.923008428732371,3,0,3,0,0.0,1.0,43.0,2.2857142857142856,13.285714285714286
FOODS_2_197_CA_1_evaluation,FOODS_2_197,d_35,11,2011-03-04,,1,11105,CA_1,2.98,2.98,0.0,0.923008428732371,4,0,3,0,0.0,22.0,46.0,2.5714285714285716,11.821428571428571
FOODS_2_197_CA_1_evaluation,FOODS_2_197,d_36,10,2011-03-05,,1,11106,CA_1,2.98,2.98,0.0,0.923008428732371,5,1,3,0,0.0,1.0,38.0,4.142857142857143,10.571428571428571
FOODS_2_197_CA_1_evaluation,FOODS_2_197,d_37,8,2011-03-06,,1,11106,CA_1,2.98,2.98,0.0,0.923008428732371,6,1,3,0,8.0,16.0,31.0,5.571428571428571,9.571428571428571
FOODS_2_197_CA_1_evaluation,FOODS_2_197,d_38,30,2011-03-07,,1,11106,CA_1,2.98,2.98,0.0,0.923008428732371,0,0,3,0,0.0,0.0,23.0,5.571428571428571,8.75
FOODS_2_197_CA_1_evaluation,FOODS_2_197,d_39,31,2011-03-08,,1,11106,CA_1,2.98,2.98,0.0,0.923008428732371,1,0,3,0,8.0,0.0,0.0,9.857142857142858,9.0
FOODS_2_197_CA_1_evaluation,FOODS_2_197,d_40,3,2011-03-09,LentStart,1,11106,CA_1,2.98,2.98,0.0,0.923008428732371,2,0,3,1,0.0,0.0,1.0,13.142857142857142,10.107142857142858
FOODS_2_197_CA_1_evaluation,FOODS_2_197,d_41,0,2011-03-10,,1,11106,CA_1,2.98,2.98,0.0,0.923008428732371,3,0,3,0,2.0,0.0,15.0,13.571428571428571,10.178571428571429
FOODS_2_197_CA_1_evaluation,FOODS_2_197,d_42,31,2011-03-11,,0,11106,CA_1,2.98,2.98,0.0,0.923008428732371,4,0,3,0,11.0,0.0,22.0,13.285714285714286,9.642857142857142
FOODS_2_197_CA_1_evaluation,FOODS_2_197,d_43,8,2011-03-12,,0,11107,CA_1,2.98,2.98,0.0,0.923008428732371,5,1,3,0,10.0,0.0,34.0,16.142857142857142,9.964285714285714
