item_id,date,units,q10,q50,q90
FOODS_2_197,2016-04-25,17,10.296160285781156,18.326947964165914,29.11812391138299
FOODS_3_080,2016-04-25,17,9.703915146426223,14.708952223179507,22.389934041543157
FOODS_3_090,2016-04-25,48,27.45477172838775,44.124200048965456,59.30170511974921
FOODS_3_120,2016-04-25,34,6.545506481863693,32.75038079258659,59.772845621537094
FOODS_3_252,2016-04-25,30,20.19794050637328,29.80335424523086,40.18407154377195
FOODS_3_555,2016-04-25,13,9.425104437838666,14.42380685878553,21.96934196415932
FOODS_3_586,2016-04-25,40,21.87119718484619,31.839261309641774,40.89387250009709
FOODS_3_587,2016-04-25,19,10.079386483886813,21.494977964120284,31.297286534468274
FOODS_3_714,2016-04-25,10,8.335422642034075,13.201806025216557,19.780110620326482
FOODS_3_808,2016-04-25,0,1.4548983122878444e-11,2.013885558587912e-10,1.6550378629755207
FOODS_2_197,2016-04-26,24,9.223678711841341,14.790187516727814,25.109862107933168
FOODS_3_080,2016-04-26,18,9.890537660180188,15.552033142031346,23.172257780031057
FOODS_3_090,2016-04-26,35,25.510382670623514,42.34371315988597,54.46754243144952
FOODS_3_120,2016-04-26,30,12.734859088425376,34.565299864871875,52.36935176707279
FOODS_3_252,2016-04-26,27,19.145139489845803,27.90349819710698,35.71443291403843
FOODS_3_555,2016-04-26,17,9.293158855789752,13.996521504873451,21.99794107537343
FOODS_3_586,2016-04-26,29,22.109581744219316,30.75821609267616,40.72532402129947
FOODS_3_587,2016-04-26,13,8.414171081154086,16.102016144125262,26.67708885791124
FOODS_3_714,2016-04-26,6,7.272609382105446,13.777403689012823,21.202770175892507
FOODS_3_808,2016-04-26,0,1.4548983122878444e-11,2.612754920271447,13.393202097414406
FOODS_2_197,2016-04-27,18,7.9708170389828235,13.663429966706376,22.813704706486998
FOODS_3_080,2016-04-27,24,9.559300481332398,15.152322733726061,23.67810612052936
FOODS_3_090,2016-04-27,34,25.521016549955956,40.36038129503314,56.94129451482032
FOODS_3_120,2016-04-27,32,6.909886712370424,29.00802227320882,49.852178249456045
FOODS_3_252,2016-04-27,13,19.775714544966682,27.947666893009124,36.33011061079227
FOODS_3_555,2016-04-27,14,8.599020679378,13.461730338044427,21.818749990229882
